created_at,rx_at,id,lat,lon,vbat,siv,ttf,rssi
2022-05-10 22:51:00,2022-05-17 15:46:59.688000,8,13.84706,100.56880,4.125,4,31.447,-60
2022-05-10 22:54:47,2022-05-17 15:47:00.195000,8,13.84721,100.56893,4.131,5,76.273,-60
2022-05-10 22:56:44,2022-05-17 15:47:00.696000,8,13.84628,100.56875,4.125,6,57.8,-59
2022-05-10 22:57:56,2022-05-17 15:47:01.202000,8,13.84630,100.56848,4.125,5,71.358,-61
2022-05-10 22:59:07,2022-05-17 15:48:01.874000,8,13.84563,100.56800,4.118,4,17.217,-60
2022-05-10 23:00:28,2022-05-17 15:48:02.374000,8,13.84655,100.56903,4.125,6,43.815,-60
2022-05-10 23:03:32,2022-05-17 15:48:02.882000,8,13.84616,100.56801,4.125,6,73.304,-60
2022-05-10 23:05:04,2022-05-17 15:48:03.384000,8,13.84635,100.56858,4.118,6,15.228,-60
2022-05-10 23:06:12,2022-05-17 15:48:03.890000,8,13.84613,100.56828,4.125,6,26.296,-60
2022-05-10 23:09:06,2022-05-17 15:48:04.390000,8,13.84703,100.56925,4.157,5,28.345,-61
2022-05-10 23:12:03,2022-05-17 15:48:04.891000,8,13.84641,100.56873,4.125,6,28.245,-60
2022-05-10 23:14:50,2022-05-17 15:48:05.396000,8,13.84688,100.56888,4.125,5,15.185,-59
2022-05-10 23:15:26,2022-05-17 15:48:05.898000,8,13.84670,100.56906,4.118,5,35.194,-60
2022-05-10 23:18:40,2022-05-17 15:48:06.407000,8,13.84688,100.56895,4.125,5,73.279,-60
2022-05-10 23:20:29,2022-05-17 15:48:06.909000,8,13.84655,100.56885,4.131,5,40.281,-60
2022-05-10 23:20:49,2022-05-17 15:48:07.418000,8,13.84745,100.56873,4.118,6,19.249,-59
2022-05-10 23:21:42,2022-05-17 15:48:07.917000,8,13.84770,100.56940,4.118,7,52.232,-61
2022-05-10 23:23:39,2022-05-17 15:48:08.421000,8,13.84646,100.56871,4.125,7,29.76,-60
2022-05-10 23:24:58,2022-05-17 15:48:08.923000,8,13.84640,100.56851,4.125,5,78.216,-61
2022-05-10 23:26:32,2022-05-17 15:48:09.423000,8,13.84655,100.56870,4.125,5,48.818,-61
2022-05-10 23:27:25,2022-05-17 15:48:09.931000,8,13.84668,100.56883,4.118,6,52.277,-61
2022-05-10 23:29:36,2022-05-17 15:48:10.433000,8,13.84631,100.56861,4.125,5,26.225,-60
2022-05-10 23:31:04,2022-05-17 15:48:10.940000,8,13.84655,100.56868,4.118,5,87.785,-61
2022-05-10 23:32:39,2022-05-17 15:48:11.441000,8,13.84661,100.56898,4.131,4,64.812,-61
2022-05-10 23:33:41,2022-05-17 15:48:11.946000,8,13.84676,100.56905,4.125,5,60.985,-61
2022-05-10 23:35:44,2022-05-17 15:48:12.454000,8,13.84603,100.56815,4.125,5,42.41,-60
2022-05-10 23:36:07,2022-05-17 15:48:12.956000,8,13.84611,100.56878,4.118,4,23.205,-61
2022-05-17 14:48:04,2022-05-17 15:46:01.823000,7,13.84641,100.56865,4.337,6,30.261,-52
2022-05-17 15:45:26,2022-05-17 15:46:02.829000,7,13.84596,100.56825,4.105,5,29.846,-52
2022-05-10 20:36:16,2022-05-17 15:46:31.461000,8,13.84641,100.56863,4.131,4,20.237,-61
2022-05-10 20:39:05,2022-05-17 15:46:31.968000,8,13.84730,100.56856,4.131,5,23.82,-61
2022-05-10 20:41:55,2022-05-17 15:46:32.468000,8,13.84646,100.56873,4.131,4,14.753,-61
2022-05-10 20:42:14,2022-05-17 15:46:32.975000,8,13.84645,100.56846,4.125,7,18.751,-61
2022-05-10 20:45:09,2022-05-17 15:46:33.474000,8,13.84651,100.56876,4.125,4,24.316,-60
2022-05-10 20:49:16,2022-05-17 15:46:33.980000,8,13.84470,100.56860,4.131,5,96.849,-60
2022-05-10 20:50:19,2022-05-17 15:46:34.480000,8,13.84660,100.56861,4.131,7,54.214,-61
2022-05-10 20:51:24,2022-05-17 15:46:34.985000,8,13.84646,100.56866,4.125,3,64.843,-61
2022-05-10 20:53:39,2022-05-17 15:46:35.487000,8,14.15228,100.87526,4.131,5,41.2,-60
2022-05-10 20:54:27,2022-05-17 15:46:35.986000,8,13.84623,100.56806,4.131,4,47.259,-60
2022-05-10 20:56:56,2022-05-17 15:46:36.489000,8,13.84633,100.56926,4.125,5,41.78,-61
2022-05-10 20:57:32,2022-05-17 15:46:36.988000,8,13.84663,100.56820,4.131,4,34.789,-60
2022-05-10 21:00:07,2022-05-17 15:46:37.492000,8,13.84650,100.56835,4.125,4,39.259,-60
2022-05-10 21:02:57,2022-05-17 15:46:37.994000,8,13.84646,100.56863,4.131,4,33.232,-60
2022-05-10 21:03:25,2022-05-17 15:46:38.499000,8,13.84651,100.56900,4.125,4,27.302,-59
2022-05-10 21:06:12,2022-05-17 15:46:39,8,13.84631,100.56836,4.125,4,37.263,-60
2022-05-10 21:09:20,2022-05-17 15:46:39.504000,8,13.84636,100.56856,4.125,3,53.761,-60
2022-05-10 21:14:23,2022-05-17 15:46:40.003000,8,13.84638,100.56870,4.125,4,42.789,-59
2022-05-10 21:18:03,2022-05-17 15:46:40.504000,8,13.84658,100.56851,4.125,4,68.796,-60
2022-05-10 21:20:31,2022-05-17 15:46:41.008000,8,13.84653,100.56853,4.125,4,37.26,-60
2022-05-10 21:21:08,2022-05-17 15:46:41.509000,8,13.84628,100.56863,4.125,5,35.859,-60
2022-05-10 21:24:33,2022-05-17 15:46:42.016000,8,13.84675,100.56873,4.125,6,65.702,-60
2022-05-10 21:26:27,2022-05-17 15:46:42.518000,8,13.84543,100.56863,4.125,4,30.785,-61
2022-05-10 21:27:32,2022-05-17 15:46:43.025000,8,13.84598,100.56861,4.131,6,61.248,-60
2022-05-10 21:35:16,2022-05-17 15:46:43.525000,8,13.84663,100.56840,4.125,5,73.204,-60
2022-05-10 21:36:12,2022-05-17 15:46:44.026000,8,13.84633,100.56841,4.125,4,55.182,-61
2022-05-10 21:51:40,2022-05-17 15:46:44.527000,8,13.84645,100.56873,4.131,5,59.24,-60
2022-05-10 21:53:50,2022-05-17 15:46:45.027000,8,13.84721,100.56861,4.125,5,46.864,-60
2022-05-10 21:54:17,2022-05-17 15:46:45.535000,8,13.84641,100.56853,4.125,5,26.398,-60
2022-05-10 21:58:27,2022-05-17 15:46:46.037000,8,13.84658,100.56835,4.125,5,111.209,-60
2022-05-10 21:59:56,2022-05-17 15:46:46.544000,8,13.84733,100.56846,4.125,6,87.802,-60
2022-05-10 22:01:36,2022-05-17 15:46:47.092000,8,13.84665,100.56898,4.125,4,100.232,-60
2022-05-10 22:02:27,2022-05-17 15:46:47.603000,8,13.84651,100.56871,4.125,5,49.7,-60
2022-05-10 22:03:25,2022-05-17 15:46:48.105000,8,13.84620,100.56868,4.125,4,58.24,-59
